captial         首都         
celebration     庆典         
certain         一定的      
courage         勇气         
dare            敢            
doctor          医生、博士
exercise        练习、锻炼
fantastic       魔幻的      
festival        节日         
honour          纪念、荣耀
language        语言         
loyal           忠诚的      
military        军队         
mind            思想、想法、意识
official        官员         
peace           和平         
practice        练习、实践
primary         主要的、主修的
relay           接力         
retire          退休         
scratch         抓伤         
serious         严肃的      
special         特别的      
sport           运动         
step            步            
thousand        千            
tradition       传统         
travel          旅游         
try             试着、努力
vehicle         交通工具   
whole           整个         
