almost 几乎
just 刚刚
soon 不久
first 第一
second 第二
third 第三
then 然后，接着
later 之后，后来
lately 最近、近来
recently 近来的
before 在..之前
after 在..之后
ago 之前、以前
never 从不、决不
seldom 几乎不
often 经常
usually 通常
always 总是
here 这里
there 那里
where 哪里
inside 在里面
outside 外面
above 在上面、超过
down 下、下面
below 低于、少于
quite 相当的、非常的
hardly 几乎不、从来没有
usually 通常的、经常的
normal 典型的、正常的、一般的
normally 正常地、正常水平地、通常地
badly 差地、不成功地、不认真仔细地、非常，差
once 一次、一旦
twice 两次
well 好地、良好
away 离开
hence 因此
rather 相当
pretty 非常
such 如此、比如
so 那么、因此
totally 完全的
even 甚至
only 只有
enough 足够地
alone 独自地
when 什么时候
where 哪里
why 为什么
how 怎么、如何、多少
rarely 很少地
carefully 小心地
who 谁（主格）
whom 谁（宾格）
whose 谁的
daily 每日的
now 现在
today 今天
tomorrow 明天
yesterday 昨天
early 早的
although 尽管、虽然、即使、不过、然而
