given 给定的
retain 保留
append 追加；增加；添加
except 除..之外
ensure 确保；保证
complete 完成；结束
change 改变
modify 修改；变更
fit 适合的；适合
determine 确定；决定
lack 缺少；缺乏
bound 边界；边框
routine 例程；常规的；日常的；例行程序
utility 实用程序；公用程序；公共事业
conform 符合；适合..
terminate 终止；结束
source 来源；源
destination 目的地；目标
behavior 行为
valid 有效的
invalid 无效的
obtain 获得；获取
indicator 指示符；指向标
allocate 分配
deallocate 回收；分配的反义词
free 释放；免费；自由
description 描述
original 起初的; 原来的; 最早的; 首创的; 独创的
compute 计算；估算
beyond 超过；超越
attempt 试图；企图；尝试去做..
binary 二进制的；二元的
greater 大于>
equal 等于=
less 小于<
compare 比较（动词）
comparison 比较（名词）
accord 根据..
fill 填充；填满
locate 定位（动词）；查找
location 位置（名词）；定位（名词）
ignore 忽略；忽视
similar 相似的；相近的
occur 发生；出现（动词）
occurrence 发生；出现（名词）
inform 通知（动词）
information 信息；消息（名词）
generate 产生；生成（动词）
generator 生成器；产生器（名词）
sequence 顺序的；依次的
automatical 自动的
auto 自动
supply 提供；供应；供给
