apply                         应用、请求
assume                        假设、假定
execute                       执行、运行
prevent                       阻止、防止
allow                         准许、允许、批准
terminate                     终止、结束
occur                         发生、出现、存在于
limit                         限制、极限
increase                      增长，增加
decrease                      减少、降低
improve                       提升、提高
support                       支持
elapse                        流逝、逝去、消逝
beware                        小心、当心、提防
specify                       指定
specification                 规范（名词）
implement                     实现
flush                         冲刷、刷新
discuss                       讨论
control                       控制
share                         分享
deal                          处理、交易
conclude                      断定、得出结论、推断出
associate                     关联
stack                         栈
heap                          堆
determine                     确定、决定
represent                     代表、表示
treat                         对待、治疗
identify                      标识、识别
distinguish                   区别、区分
cover                         涵盖、封面、掩护
access                        访问、存取
develop                       开发、发展
developer                     开发人员，开发者
consider                      考虑、认为
otherwise                     否则
arrange                       安排
block                         阻塞、阻止
resume                        重启、重新开始、恢复执行、概要
refer                         参考、引用、涉及
cause                         引起、导致、造成、使..发生
contain                       包含、包括
involve                       涉及、包含、牵涉、需要、影响
explain                       解释、说明、阐述
consume                       消费、消耗
produce                       生产、生成、产生
scan                          扫描、扫码
isolate                       隔离、孤立、脱离
solve                         解决、处理、解答、破解
