contain                       包含、包括               
show                          显示、展示               
store                         存储、保存、商店      
occupy                        占据、占领               
hence                         因此                        
illustrate                    说明、用图表解释、显示
allow                         准许、容许、允许、给与
appear                        出现、显现               
consist                       由..组成、包括          
represent                     表示、代表、等于、相当于、意味着
avoid                         避免                        
copy                          拷贝                        
refer                         参考、指、涉及、提到
specify                       指定、具体说明、明确规定
request                       请求                        
respond                       回应、响应               
correspond                    对应、相一致、符合、类似于
consider                      考虑，认为               
map                           地图、映射               
set                           设置、集合               
ensure                        确保、保证               
guarantee                     保证、保障               
include                       包括                        
exclude                       不包括、排除掉         
query                         查询、询问               
pass                          传递                        
update                        更新                        
develop                       开发、发展               
guide                         向导、指引               
code                          代码                        
encode                        编码                        
decode                        解码                        
compare                       比较、相比、对比      
evalute                       求值                        
convert                       转换、切换、转变      
build                         构建、建造               
create                        创建                        
exchange                      交易、交换               
swap                          交换，互换               
call                          调用、打电话            
locate                        定位                        
merge                         合并、合在一起         
split                         分开、划分               
support                       支持                        
join                          参加、加入               
describe                      描述                        
combine                       组合、结合、拼凑、连接
sort                          排序                        
expand                        扩充                        
produce                       产生、生产出            
consume                       消费                        
receive                       接收、收到               
send                          发送、递送               
assume                        假设                        
skip                          跳过、略过               
count                         计数、数数               
shuffle                       洗牌、打乱               
publish                       发布、出版               
release                       释放                        
emit                          发出、射出、散发      
setup                         设置、安装、体制      
install                       安装                        
eliminate                     排除、清除、消除、淘汰、干掉
property                      属性                        
via                           通过，经由，凭借      
apply                         应用、使用、申请、请求
compact                       压缩                        
take                          带、携带                  
accept                        接受、接收               
replace                       替换、替代               
depend                        依赖、依靠               
calculate                     计算、核算、推测、预测
indicate                      预示、标示               
dispose                       处置、处理               
