afraid          害怕         
afternoon       下午         
agree           同意         
aloud           大声的      
argument        争论         
athelete        运动员      
blackboard      黑板         
bright          明亮的      
captial         首都         
celebration     庆典         
certain         一定的      
chocolate       巧克力      
climb           爬            
courage         勇气         
cousin          堂兄弟姐妹
cross           错×          
cycle           循环         
dare            敢            
doctor          医生、博士
exercise        练习         
fantastic       魔幻的      
festival        节日         
finally         最终         
flame           火焰         
fresh           新鲜         
heavy           重的         
height          高、高度
helpful         有帮助的   
hole            洞            
honour          纪念、荣耀
hospital        医院         
huge            巨大的      
instead         替代         
interesting     有趣的      
invention       发明（名词）
kind            友好的、类型
language        语言         
large           大的         
lead            带领         
leader          领导         
lesson          课程         
loyal           忠诚的      
military        军队         
mind            思想、想法、意识
most            大多数      
motto           格言         
nation          国家、地区
official        官员         
only            只有、仅仅
peace           和平         
plus            加            
poster          海报         
practice        练习         
primary         主要的、主修的
relay           接力         
retire          退休         
scratch         抓伤         
sentence        句子         
serious         严肃的      
shoes           鞋子         
size            大小、尺寸
sometimes       有时候      
special         特别的      
sport           运动         
stadium         体育馆      
step            步            
thousand        千            
together        在一起      
torch           火炬         
town            城镇         
tradition       传统         
travel          旅游         
try             试着、努力
vacation        假期         
vehicle         交通工具   
wait            等待         
whole           整个         
wise            智能的,聪明的
wonder          疑问         
