afraid                        害怕、担心               
thin                          瘦                           
fat                           胖                           
tall                          高的                        
short                         短的                        
strange                       奇怪的                     
address                       地址                        
born                          出生                        
interest                      兴趣                        
able                          有能力的                  
active                        积极的主动的活泼的   
careful                       小心的、仔细的         
fair                          公平的                     
bad                           坏的、不好的            
heavy                         重的                        
fun                           有趣的、乐趣            
clever                        聪明的                     
beautiful                     美丽的、美好的         
high                          高的、高级的            
kind                          美好的善良的、种类   
lovely                        可爱的、美好的         
nice                          好的、好看的            
old                           老的、旧的               
sad                           悲伤的、难过的         
shy                           害羞的腼腆的            
smart                         聪明的智能的            
pretty                        漂亮的、非常            
tired                         疲劳的                     
young                         年轻的                     
flag                          旗帜、标记               
playground                    运动场                     
library                       库、图书馆               
map                           地图                        
blackboard                    黑板                        
classroom                     教室                        
office                        办公室                     
write                         写                           
box                           盒子                        
notebook                      笔记本                     
desk                          书桌                        
university                    大学                        
gym                           体育馆                     
chair                         椅子                        
computer                      电脑                        
history                       历史                        
math                          数学                        
bell                          铃声                        
physics                       物理                        
science                       科学                        
break                         打破、休息、间隙      
card                          卡片                        
copy                          拷贝、复制               
design                        设计                        
draw                          画画                        
exercise                      练习                        
