experiment                    实验                        
game                          游戏                        
homework                      家庭作业                  
learn                         学习、学到、学会      
letter                        信、字母                  
paint                         绘画、粉刷               
pass                          通过、传递               
postcard                      明星片                     
rule                          规则、纪律               
report                        报告                        
read                          读                           
question                      问题                        
study                         学习、研究               
test                          测试、测验、考查      
timetable                     时刻表                     
word                          单词、话语               
wrong                         错误的、不对的         
body                          身体                        
arm                           手臂、胳膊               
back                          后面、背部               
ear                           耳朵                        
eye                           眼睛                        
face                          脸                           
finger                        手指                        
foot                          足、脚                     
hair                          头发                        
hand                          手                           
head                          头                           
leg                           腿                           
mouth                         嘴、口                     
nose                          鼻子                        
shouder                       肩膀                        
tail                          尾巴                        
tongue                        舌头                        
ache                          疼痛                        
fever                         发烧、发热               
flu                           流感                        
headache                      头疼                        
hear                          听见                        
hurt                          受伤、伤害               
ill                           有病的、生病的         
laugh                         嘲笑、笑                  
father                        爸爸                        
uncle                         叔叔                        
mother                        妈妈                        
brother                       兄弟                        
grandfather                   爷爷                        
cousin                        堂兄弟姐妹               
grandmother                   奶奶                        
aunt                          婶婶                        
sisiter                       姐妹                        
family                        家庭、家人               
baby                          宝宝                        
child                         小孩                        
kid                           儿童                        
parent                        父母                        
daughter                      女儿                        
son                           儿子                        
husband                       丈夫                        
wife                          妻子                        
friend                        朋友                        
member                        成员、会员               
neighbour                     邻居                        
