shelf 架子
floor 地板
window 窗户
sofa 沙发
door 门
lock 锁
kite 风筝
bed 床
bin 垃圾箱
bedroom 卧室
bathroom 浴室
bottle 瓶子
robot 机器人
knife 刀
fridge 冰箱
stairs 楼梯
photo 照片
lamp 灯
home 家
house 房子
room 房间
toilet 厕所、卫生间
washroom 洗手间
basket 篮子
board 写字板、木板
cup 杯子
dish 盘子
fan 扇子、风扇、迷，狂热爱好者
fork 叉子
table 表格、桌子
trash 废物、垃圾
umbrella 伞
toy 玩具、玩物
dollar 美元美金
money 钱
carrot 胡萝卜
frog 青蛙
grass 草
bird 鸟
sheep 绵羊
cow 母牛
cat 猫
fish 鱼
tree 树
trunk 树干
vagetable 蔬菜
butterfly 蝴蝶
rabbit 兔子
goat 山羊
horse 马
deer 鹿
bee 蜜蜂
ant 蚂蚁
insect 昆虫
animal 动物
bear 熊
chick 小鸡
frog 青蛙
elephant 大象
duck 鸭子
dragon 龙
donkey 驴
lion 狮子
monkey 猴子
mouse 老鼠
panda 大熊猫
tiger 老虎
wolf 狼
shark 鲨鱼
snake 蛇
pig 猪
pet 宠物
plant 植物
bean 豆子
forest 森林
seed 种子
grass 草地
flower 花、花朵
