apple                         苹果                        
egg                           鸡蛋                        
bread                         面包                        
cake                          蛋糕                        
banana                        香蕉                        
menu                          菜单                        
rice                          米饭                        
sweet                         点心、甜心               
wine                          酒                           
tomato                        西红柿                     
foot                          食物                        
drink                         饮料、饮                  
eat                           吃                           
taste                         尝起来                     
full                          满、饱的                  
empty                         空的                        
hungry                        饿的                        
delicious                     美味的                     
lunch                         午餐                        
supper                        晚餐                        
dinner                        正餐                        
beef                          牛肉                        
candy                         糖果                        
meat                          肉                           
nut                           坚果                        
salt                          盐、咸的                  
shirt                         衬衫                        
dress                         连衣裙、穿着            
clothes                       衣服                        
cap                           帽子                        
suit                          套装                        
boot                          靴子                        
wear                          穿、戴                     
cheap                         便宜的                     
dirty                         脏的                        
expensive                     贵的                        
clean                         干净的，打扫            
park                          公园                        
bank                          银行                        
guide                         导游、向导               
airport                       机场                        
customer                      顾客                        
doctor                        大夫、医生、博士      
cook                          烹饪                        
work                          工作（名词&动词）     
job                           工作、职业               
people                        人们                        
boss                          老板                        
actor                         演员                        
drive                         驾驶                        
dirver                        司机                        
engine                        引擎                        
engineer                      工程师                     
farm                          农场                        
farmer                        农民                        
general                       将军                        
guest                         客人                        
king                          国王                        
lawyer                        律师                        
model                         模型                        
pilot                         飞行员                     
president                     主席、总统、总裁      
policeman                     警察                        
hospital                      医院                        
market                        市场                        
museum                        博物馆                     
garden                        花园                        
field                         领域                        
community                     社区                        
shop                          商店                        
station                       车站                        
zoo                           动物园                     
village                       村庄                        
town                          城镇                        
