thing 事情、事物
nature 自然
air 空气
bridge 桥
lake 湖泊
ice 冰
moon 月亮
mountain 山
nest 巢穴
path 小路
river 河
star 星星、明星
sky 天空
space 太空
stream 溪流、小溪
wood 木材
east 东方
west 西方
north 北方
south 南方
left 左
right 右、正确
accident 事故、意外
film 电影
hope 希望
information 信息
idea 主意、想法
interveiew 面试，面谈
wish 希望、祝愿
joke 笑话
life 生命
team 队，组
sound 声音、听起来
present 礼物、赠品
matter 事情、麻烦、困难
message 消息
mistake 错误、失误
line 线、排
list 目录、清单
square 广场
theme 主题
another 另一个
any 任何
each 每个，各
every 每一，每个
none 一个也没有，无任何东西或人
there 那里
these 这些
busy 忙
centre 中心中央
those 那些
that 那个
this 这个
dangerous 危险的
deep 深的
different 不同的
fast 快的
great 巨大的伟大的极好的
fresh 新鲜
favorite 最喜欢的
easy 容易的、不费力的
difficult 困难的，不容易的
empty 空的
end 结束、终点
middle 中间的中等的
round 圆的，一轮
same 相同的
several 几个
near 附近
far 远的
quiet 安静的
useful 有用的
slow 慢的
special 特殊的特别的
strict 严格的
surprise 惊喜的
terrible 恐怖的
wonderful 精彩的极好的
