abandon                                 放弃、禁止、不准、遗弃
abort                                   终止、夭折
accept                                  接受、接收
access                                  访问、存取
accord                                  根据
achieve                                 完成、达到、获得
acquire                                 (通过努力)获得、得到、购得、得到
adjust                                  调整；调节; 适应; 习惯; 整理;
admire                                  羡慕、赞赏
admit                                   承认
advise                                  劝告、建议
afford                                  买得起、承担得起
alloc                                   分配
allow                                   准许、允许、批准
announce                                宣告、宣布
answer                                  回答、答案
apologize                               道歉
appear                                  出现、显现
append                                  添加、追加
apply                                   应用、请求
argument                                参数（实参）,争论
arrange                                 安排
array                                   数组
ask                                     问
assign                                  赋值
associate                               关联
assume                                  假设、假定
attack                                  攻击
attempt                                 企图、试图
attend                                  参加（会议）
attract                                 吸引
auto                                    自动
avoid                                   避免；避开
bake                                    烘烤
basic                                   基本的、基础的
bear                                    忍受、负担
beat                                    打败
become                                  变成
beg                                     乞讨
begin                                   开始
behave                                  表现；行为
belong                                  属于;belong-to
beware                                  小心、当心、提防
bite                                    咬
blame                                   指责、抱怨
block                                   阻塞、阻止
body                                    体
borrow                                  借
break                                   跳出、打破
breathe                                 呼吸
bring                                   带来
broadcast                               广播
bug                                     虫子、缺陷
build                                   构建、建造
burn                                    燃烧
buy                                     买
bypass                                  绕过；避开；旁路
calculate                               计算、核算、推测、预测
call                                    调用、打电话
can                                     能够、可以
case                                    案例、小案例
catch                                   捉、抓、接住
cause                                   引起、导致、造成、使..发生
celebrate                               庆祝
change                                  改变、修改
character                               字符、角色
charge                                  充电、收费
check                                   检查;校验；判断
choose                                  选择
clean                                   清理、打扫
clear                                   清空，清楚的
click                                   点击
code                                    代码
coding                                  编程，编写代码
collect                                 收集
combine                                 组合、结合、拼凑、连接
come                                    来，过来
command                                 命令；指令
common                                  公共、公用
communicate                             通信、通讯
compact                                 压缩
compare                                 比较、相比、对比
compile                                 编译
complain                                抱怨
complete                                完成；结束
conclude                                断定、得出结论、推断出
condition                               条件
configure                               配置
conflict                                冲突
connect                                 连接
consider                                考虑、认为
consist                                 由..组成、包括
const                                   常量
constitute                              组成、构成、是、成立、设立
consume                                 消费、消耗
consumer                                消费者
contain                                 包含、包括
continue                                继续
control                                 控制
convert                                 转换、切换、转变
copy                                    拷贝
correct                                 改正
correspond                              对应、相一致、符合、类似于
cost                                    花费;成本
count                                   计数、数数
counter                                 计数，计数器（名词）
cover                                   涵盖、封面、掩护
create                                  创建
cure                                    治愈;治疗
cut                                     切
damage                                  损害、损坏、毁坏
date                                    日期
deal                                    处理、交易
debug                                   调试
decide                                  决定；裁决；选定
declare                                 声明
decode                                  解码
decrease                                减少、降低
decrement                               减少
defeat                                  战胜、挫败、击败
defend                                  防守、辩护、保护
define                                  定义
delay                                   延迟
delete                                  删除
deliver                                 递交、投递
demand                                  要求、需要、请求
depend                                  依赖、依靠
describe                                描述
design                                  设计
destroy                                 破坏
determine                               确定、决定
develop                                 开发、发展
developer                               开发人员，开发者
