abstract                                抽象
access                                  访问、存取
accord                                  根据..
achieve                                 达到；达成；实现
adjust                                  调整；调节; 适应; 习惯; 整理;
algorithm                               算法
allocate                                分配
allow                                   准许、允许、批准
appear                                  出现；显得; 看来; 似乎; 呈现; 显现; 起源; 首次使用; 出版; 演出;
append                                  追加；增加；添加
application                             应用；应用程序；APP
apply                                   应用、请求
architecture                            架构；体系结构
argument                                参数（实参）,争论
arithmetric                             算术；算术的
arrange                                 安排
array                                   数组
assign                                  赋值
associate                               关联
assume                                  假设、假定
attempt                                 试图；企图；尝试去做..
auto                                    自动
automatical                             自动的
avoid                                   避免；避开
basic                                   基本的、基础的
behave                                  表现；行为
behavior                                行为
beware                                  小心、当心、提防
beyond                                  超过；超越
binary                                  二进制的；二元的
block                                   阻塞、阻止;块
body                                    体
bound                                   边界；边框
break                                   跳出、打破
bug                                     虫子、缺陷
bypass                                  绕过；避开；旁路
cache                                   缓存；缓冲
call                                    调用
case                                    案例、小案例
cause                                   引起、导致、造成、使..发生
center                                  中心；中央
central                                 中央的；中心的
chain                                   链条；链
change                                  改变
chapter                                 章；第几章
character                               字符、角色
chart                                   图表
check                                   检查；判断；校验
code                                    代码
coding                                  编程，编写代码
collect                                 收集
combine                                 组合；拼在一起
comment                                 评论；注释
common                                  公共、公用
compare                                 比较（动词）
comparison                              比较（名词）
compile                                 编译
complete                                完成；结束
component                               组件；部分
compose-of                              组成；构成；创作
compute                                 计算；估算
concept                                 概念；观念
concern                                 考虑；关注；关心
conclude                                断定、得出结论、推断出
condition                               条件
configure                               配置；配置项
conform                                 符合；适合..
consider                                考虑、认为
const                                   常量
consume                                 消费、消耗
contain                                 包含、包括
continue                                继续
control                                 控制
convert                                 转换；转变
cooperate                               合作；协作
core                                    核心；核；内核
corresponding                           对应的；相应的
cover                                   涵盖、封面、掩护
crash                                   崩溃；崩
critical                                关键的；重要的
current                                 当前的
cursor                                  光标；游标
date                                    日期
deal                                    处理、交易
deallocate                              回收；分配的反义词
debug                                   调试
decide                                  决定；裁决；选定
declare                                 声明
decompose-into                          分解；解构
decrease                                减少、降低
decrement                               减少
default                                 默认；默认的
define                                  定义
demonstrate                             示范; 演示；证明；证实
depend-on                               依赖；依靠；相信；
dependent                               依赖的；依靠的
description                             描述
design                                  设计
destination                             目的地；目标
detail                                  细节的；详细的
determine                               确定；决定
develop                                 开发、发展
developer                               开发人员，开发者
device                                  设备；准备
dimension                               维度；维
direct                                  直接；指向
direction                               方向
directly                                直接的
directory                               目录
discuss                                 讨论
disk                                    磁盘；盘；硬盘
dissociate                              分离；把..分开
distinguish                             区别、区分
divide-into                             划分；除；切分
due-to                                  归因于；因为
dynamic                                 动态的
edit                                    编辑
efficient                               高效的；有效率的
elapse                                  流逝、逝去、消逝
element                                 元素；单元
empty                                   空的、空洞的、空虚的、无意义的
enable                                  使能；使..能够；能
ensure                                  确保；保证
equal                                   等于=
error                                   错误
establish                               确立；创立；设立；建立
example                                 例子
except                                  除..之外
exclude                                 不包括
execute                                 执行、运行
expect                                  期望；期待
expend                                  扩大；增加；增强；扩展
explain                                 解释、说明、阐述
expose                                  暴露；揭露；阐述；陈述
express                                 表达；表示（动词）
expression                              表达式
far                                     远；远的
field                                   领域；田地；域；场
figure                                  图；图例；图表
file                                    文件
fill                                    填充；填满
fit                                     适合的；适合
