at                            在                           
in                            在..里面                   
on                            在..之上                   
from                          从..来，源自..           
over                          结束、..上                
around                        在..周围                   
to                            到..去                      
below                         在..下方                   
under                         在..正下方                
above                         在..上方                   
between                       在两者之间               
among                         在三者或三者以上之间
behind                        在..后面                   
beside                        在..旁边                   
across                        横穿、表示人或物从平面穿过
through                       贯穿，表示从物体内部空间穿过
along                         沿着..                      
front                         前面                        
back                          后面                        
up                            上、向上                  
down                          下、向下                  
since                         自某个时间点..以来    
till                          直到..为止                
before                        在某一时刻之前         
after                         在某一时刻之后         
for                           为了、持续一段时间   
during                        某个时间内               
by                            通过、乘坐、靠、用、以
with                          用、以                     
of                            什么的，表所属关系   
