access                                   | 访问
argument                                 | 参数（实参）,争论
array                                    | 数组
assign                                   | 赋值
auto                                     | 自动
basic                                    | 基本的、基础的
block                                    | 块
body                                     | 体
break                                    | 跳出、打破
bug                                      | 虫子、缺陷
call                                     | 调用
case                                     | 案例、小案例
change                                   | 改变、修改
character                                | 字符、角色
check                                    | 检查；判断；校验
code                                     | 代码
coding                                   | 编程，编写代码
common                                   | 公共、公用
compare                                  | 比较；对比
compile                                  | 编译
condition                                | 条件
const                                    | 常量
continue                                 | 继续
date                                     | 日期
debug                                    | 调试
declare                                  | 声明
decrement                                | 减少
define                                   | 定义
design                                   | 设计
directory                                | 目录
dynamic                                  | 动态的
empty                                    | 空的、空洞的、空虚的、无意义的
equal                                    | 等于
error                                    | 错误
example                                  | 例子
exclude                                  | 不包括
execute                                  | 执行
expression                               | 表达式
file                                     | 文件
float                                    | 浮动、浮点数
function                                 | 函数、功能
global                                   | 全局的
greater                                  | 大于
handle                                   | 处理、句柄
header                                   | 头部的、头部
include                                  | 包含
increment                                | 增加
initial                                  | 初始的
initialize                               | 初始化
key                                      | 键、关键、钥匙
less                                     | 小于
library                                  | 库，仓库、图书馆
link                                     | 链接、连接
list                                     | 列表
local                                    | 局部、当地、本地
loop                                     | 循环
manage                                   | 管理
member                                   | 成员
memory                                   | 内存
method                                   | 方法，函数
mode                                     | 模式
modify                                   | 修改
null                                     | 无效的、零值的，空的
number                                   | 数字
object                                   | 对象
operate                                  | 操作、手术
operator                                 | 操作符
parameter                                | 参数（形参）
point                                    | 点，指向
pointer                                  | 指针
private                                  | 私有的
process                                  | 处理
program                                  | 程序
provide                                  | 提供
public                                   | 公开的，公开
range                                    | 范围;界限; 区间.
read                                     | 读
return                                   | 返回
rule                                     | 规则、纪律
run                                      | 运行、跑
save                                     | 保存、存盘
scope                                    | 范围；(做或实现某事的)机会，能力;
set                                      | 集合
size                                     | 大小、尺寸
source                                   | 源、源码、来源
standard                                 | 标准、标准的
statement                                | 语句
static                                   | 静态的
storage                                  | 存储
store                                    | 保存、存储、商店
stream                                   | 流
string                                   | 字符串
struct                                   | 结构
support                                  | 支持
test                                     | 测试
than                                     | 比；比..
time                                     | 时间
translate                                | 翻译
type                                     | 类型
utility                                  | 程式、实用程序
value                                    | 值、价值
variable                                 | 变量
warning                                  | 警告
write                                    | 写
