April           四月         
August          八月         
December        十二月      
February        二月         
January         一月         
July            七月         
June            六月         
March           三月         
May             五月         
November        十一月      
October         十月         
September       九月         
[               1]             
able            有能力的   
abort           终止         
about           关于         
above           在..上方    
accept          接受         
accident        事故、意外
ache            疼痛         
achieve         完成、达到、获得
across          横穿、表示人或物从平面穿过
act             扮演         
active          积极的主动的活泼的
actor           演员         
address         地址         
admire          羡慕、赞赏
admit           承认         
advise          劝告、建议
afford          买得起、承担得起
afraid          害怕、担心
after           在某一时刻之后
afternoon       下午         
again           再、又      
against         反对，违反，对......不利
ago             之前         
agree           同意         
air             空气         
airport         机场         
all             所有，全部，极度
allow           准许、容许
almost          几乎         
alone           独自地      
along           沿着..       
aloud           大声的      
already         已经         
alse            也            
also            也，而且，同样
althrough       尽管，虽然，但是，然而
always          总是         
america         美国、美洲
among           在三者或三者以上之间
ancient         古代的      
and             和、与      
angry           生气         
animal          动物         
announce        宣告、宣布
another         另一个      
answer          回答         
ant             蚂蚁         
any             任何         
anyway          无论如何，不管怎样，总之
anywhere        在任何地方，无论何处
apologize       道歉         
appear          出现         
apple           苹果         
argue           争吵         
argument        争论         
arm             手臂、胳膊
around          在..周围    
arrive          到达         
as              如同，像......一样
aside           离开，撇开，在旁边
ask             问            
at              在            
athelete        运动员      
attack          攻击         
attempt         企图、试图
attend          参加（会议）
attract         吸引         
aunt            婶婶         
automn          秋天         
avoid           避免         
away            离开         
baby            宝宝         
back            后面、背部
bad             坏的、不好的
bake            烘烤         
banana          香蕉         
bank            银行         
baseball        棒球         
basket          篮子         
basketball      篮球         
bathroom        浴室         
bean            豆子         
bear            熊            
beat            打败         
beautiful       美丽的、美好的
because         因为         
become          成为         
bed             床            
bedroom         卧室         
bee             蜜蜂         
beef            牛肉         
before          之前         
beg             乞讨         
begin           开始         
behind          在..后面    
believe         相信         
bell            铃声         
below           在..下方    
beside          在..旁边    
besides         除......以外（还)
best            最好的      
better          更好的      
between         在两者之间
beyond          在（或向）......较远的一边，超过，越过
bike            自行车      
bin             垃圾箱      
bird            鸟            
bite            咬            
black           黑色         
blackboard      黑板         
blame           指责、抱怨
blood           血            
blue            蓝色         
board           写字板、木板
body            身体         
bollon          十亿         
boot            靴子         
born            出生         
borrow          借            
boss            老板         
both            两个都      
bottle          瓶子         
bowl            碗            
box             盒子         
brave           勇敢         
bread           面包         
break           打破、休息、间隙
breathe         呼吸         
bridge          桥            
bright          明亮的      
bring           带来、拿来
broadcast       广播         
broke           弄坏         
bronze          铜的         
brother         兄弟         
brown           棕色、铜   
build           建造         
burn            燃烧         
bus             巴士、公交车
busy            忙            
but             但是         
butterfly       蝴蝶         
buy             买            
by              通过、乘坐、靠、用、以
cake            蛋糕         
calendar        日历         
can             能够、可以
canada          加拿大      
candy           糖果         
cap             帽子         
captial         首都         
car             小汽车      
card            卡片         
careful         小心的、仔细的
carefully       小心地      
carrot          胡萝卜      
carry           携带、搬运
cat             猫            
catch           抓、捉、接
cause           原因，事业，目标
celebrate       庆祝         
celebration     庆典         
centain         一定的      
centre          中心中央   
certain         一定的      
chair           椅子         
chance          机会         
change          改变、修改
charge          充电、收费
cheap           便宜的      
check           检查         
chess           棋子         
chick           小鸡         
child           小孩         
chocolate       巧克力      
choose          选择         
christmas       圣诞节      
city            城市         
classmate       同学         
classroom       教室         
clean           干净的，打扫
clever          聪明的      
climb           爬            
close           关闭         
clothes         衣服         
cloud           云            
cloudy          多云的      
code            代码         
cold            冷的         
collect         收集         
colour          颜色         
come            来            
comfortable     舒服的      
community       社区         
compare         比较         
compass         指南针      
complain        抱怨         
computer        电脑         
connect         连接         
consider        认为、考虑
continually     不断地，频繁地
control         控制         
cook            烹饪         
cool            凉爽的      
copy            拷贝、复制
correct         改正         
cost            花费         
could           能够，可以，可能，差点就，本来欧可能......
count           计数、数数
country         国家         
courage         勇气         
cousin          堂兄弟姐妹
cover           掩盖、包括
cow             母牛         
cross           错×          
cry             哭            
cup             杯子         
customer        顾客         
cut             切            
cycle           循环         
daily           每日的      
damage          损害、损坏、毁坏
dance           跳舞         
dangerous       危险的      
dare            敢            
daughter        女儿         
deal            处理、交易
dear            亲爱的      
decide          决定         
declare         声明、断言、宣称
decrease        降低、减少
deep            深的         
deer            鹿            
delay           延迟         
delete          删除         
delicious       美味的      
deliver         递交、投递
demand          要求、需要、请求
describe        描述、描绘
design          设计         
desk            书桌         
destroy         破坏         
determine       决定、确定、测定
develop         发展         
devote          献身于、致力于
did             做（do的过去式）
die             死            
different       不同的      
difficult       困难的，不容易的
dig             挖            
dinner          正餐         
dirty           脏的         
dirver          司机         
disappoint      使失望、使扫兴
discover        发掘、探索、发现
discuss         讨论         
dish            盘子         
dislike         不喜欢      
dive            跳水、潜水
divide          除            
doctor          大夫、医生、博士
does            做，工作，有用（do的第三人称单数形式）
dollar          美元美金   
done            完成的，做好了的，煮熟的
donkey          驴            
door            门            
down            下、向下   
dragon          龙            
draw            画画         
dream           梦想、梦、做梦
dress           连衣裙、穿着
drink           饮料、饮   
drive           驾驶         
drop            掉下         
dry             干燥的      
duck            鸭子         
during          在..期间    
each            每个，各   
each（两个或两个以上的人或物中）各自                
eager           渴望         
ear             耳朵         
early           早的         
earn            赚得、获得
east            东方         
easy            容易的、不费力的
eat             吃            
effect          效果、作用、产生
egg             鸡蛋         
eight           8              
eighteen        18             
either          任一的      
elephant        大象         
eleven          11             
else            其他，否则，另外
emperor         皇帝         
empty           空的         
encourage       鼓励         
end             结束、终点
engine          引擎         
engineer        工程师      
england         英格兰      
enjoy           享受         
enough          足够地      
enter           进入         
escape          逃离         
even            甚至         
evening         晚上         
event           事件         
ever            永远，曾经，究竟
every           每一，每个
everything      每件事物，一切，万事
examine         检查         
except          除......之外
execuse         原谅、打扰
exercise        练习         
exist           存在         
expect          期望         
expensive       贵的         
experiment      实验         
explain         解释         
express         表达         
eye             眼睛         
face            脸            
fail            失败         
fair            公平的      
fall            落下         
false           错误的，虚伪的，伪造的
family          家庭、家人
famous          著名的      
fan             扇子、风扇、迷，狂热爱好者
