against                       反对、以防、和..相比 
almost                        几乎、差不多            
bingo                         好、好的（事情如愿时说）
block                         阻塞、阻挡               
branch                        分支、树支               
broad                         宽阔的、广阔的         
character                     角色、字符               
cross                         X,叉                         
describe                      描述                        
erase                         擦除、清除               
eraser                        橡皮擦、黑板擦         
follow                        跟随                        
following                     下面的、接下来的      
ground                        地面                        
guess                         猜、猜测、猜想         
introduce                     介绍                        
litter                        扔东西                     
maybe                         可能、或许               
mind                          介意、头脑、思考、智慧、心智
perhaps                       也许、可能               
place                         地方、地点               
pretty                        美好的、好的            
professor                     教授                        
really                        真的                        
remove                        移除、删除               
report                        报告、汇报               
several                       一些、几个               
straight                      直的;                       
task                          任务                        
these                         这些                        
touch                         触碰、抚摸               
turn-off                      关、关闭                  
under                         在..之下                   
weak                          弱的、虚弱的            
whole                         整个的、全部的         
wise                          智慧的，聪明的         
