early 早、早的
hold 持有，抓，拿
late 迟到的，晚的
later 后来
tired 疲劳的
ahead 向前，前面
kind 种类、友好的
energy 能力
change 改变
warm 暖和的
own 自己的
gas 天然气，气体
remain 仍然
animal 动物
plants 植物
sometimes 有时候
next 下一个
spend 花费、度过
again 再、又
hiking 徒步
july 七月
august 八月
weather 天气
foggy 多雾的、有雾的
travel 旅游、旅行
cool 凉快、酷
clear 清晰的、干净的、清除
draw 画
community 社区
catch-a-cold 得感冒
cinema 电影院
afraid 恐怕、担心
stay 待、停留
soon 很快
drink 饮、喝
wet 潮湿、湿
be-careful 小心
rain 下雨、雨水
neck 脖子
arm 胳膊
foot 足
nose 鼻子
fever 发烧
pair 一对
patient 病人、有耐心的
wall 墙
flash 闪、闪光
floor 地板
place 地方、地点，放置
method 方法
mirror 镜子
below 在..之下，低于
host 举办，主人
grade 年级、分数
then 然后
word 单词
collect 收集
stage 舞台、阶段
graduate 毕业
hundred 百
thousand 千
ceremony 典礼; 仪式; 礼节; 礼仪; 客套;
stand 站立，站
front 前面
special 特别的、特殊的
popular 流行的
activity 活动
exciting 激动的
science 科学
build 建设，建造
building 建筑物
club 俱乐部
excuse 原谅、借口、理由
saturday 星期六
between 在..之间
corner 角
uniform 制服
must 必须
explain 解释
design 设计
guard 保护、保卫
pleasure 高兴，愉悦的事、享受
proud 骄傲
member 成员
realize 认识到
path 路径、路
challenge 挑战
best 最好的
speech 演讲
confident 自信的
period 一段时间
memory 内存、记忆
express 表达
greet 感激、打招呼、迎接
recall 回忆
call 打电话、调用
text 文本、文字
price 价格
happen 发生
no-longer 不再
classical 经典的，古典的
subject 科目、主题、题目、课程
introduce 介绍
police 警察
whose 谁的
idea 点子、想法、主意
stop 停止
behind 在..之后
season 季节
ill 生病的
heavy 重的
light 轻的、光
street 街道
only 仅仅，只有
inside 在..里面，在..中
