abstract                                抽象
achieve                                 达到；达成；实现
architecture                            架构；体系结构
cache                                   缓存；缓冲
chapter                                 章；第几章
combine                                 组合；拼在一起
component                               组件
compose-of                              组成；构成；创作
configure                               配置；配置项
cooperate                               合作；协作
corresponding                           对应的；相应的
crash                                   崩溃；崩
critical                                关键的；重要的
decompose-into                          分解；解构
default                                 默认；默认的
detail                                  详细的；细节的；细节
device                                  设备；准备
dimension                               维度；维
establish                               确立；创立；设立；建立
field                                   领域；田地；域；场
force                                   迫使；强迫的；强制的
illustrate                              说明；用图说明；解析
immediate                               立即的；立刻的
invoke                                  调用；援引; 援用;
launch                                  发射；发起；发动；启动
measure                                 测量；度量
multiple                                多个的；多数的；倍数的；多种多样的
note                                    注意；笔记；备忘录
optimize                                优化；提升
option                                  选项
organization                            组织（名词）
organize                                组织（动词）
precede                                 之前；领先；在…之前；优于；高于
pure                                    纯的；纯粹的
rely-on                                 依赖；依靠于
respect                                 尊重；敬重
respective                              各自的；分别的
restrict                                限制；限定；束缚；约束
section                                 节；部分
segment                                 片段；段
seperate                                单独的；独自的
signature                               签名
silent                                  沉默的；默不作声的
single                                  单一的；单个的
the-following                           接下来的；下列的
the-preceding                           之前的；上述的；前面提到的
thus                                    因此；所以；从而
transfer                                传输；转换；换乘
typical                                 典型的
unique                                  唯一的；唯独的
