January                       一月                        
February                      二月                        
March                         三月                        
April                         四月                        
May                           五月                        
June                          六月                        
July                          七月                        
August                        八月                        
September                     九月                        
October                       十月                        
November                      十一月                     
December                      十二月                     
sunday                        星期日                     
monday                        星期一                     
tuesday                       星期二                     
wednesday                     星期三                     
thursday                      星期四                     
friday                        星期五                     
saturday                      星期六                     
weekend                       周末                        
today                         今天                        
tomorrow                      明天                        
yesterday                     昨天                        
morning                       早餐                        
noon                          中午                        
afternoon                     下午                        
evening                       晚上                        
night                         夜、夜晚                  
tonight                       今夜、今晚               
holiday                       假期                        
quarter                       一刻钟、15分钟          
now                           现在                        
then                          当时、那时、然后、那么
ago                           之前                        
after                         之后                        
soon                          很快、一会儿            
again                         又、再                     
early                         早的                        
late                          万的                        
often                         经常                        
usually                       通常、常常               
