ship                          船                           
train                         火车                        
truck                         卡车                        
car                           小汽车                     
motorbike                     摩托车                     
taxi                          出租车                     
bus                           巴士、公交车            
bike                          自行车                     
road                          道路                        
traffic                       交通                        
subway                        地铁                        
spaceship                     宇宙飞船                  
plane                         飞机                        
railway                       铁路                        
station                       车站                        
