abandon                                 放弃、禁止、不准、遗弃
abort                                   终止、夭折
accept                                  接受
access                                  存取、访问、进入、通道
accord                                  根据
achieve                                 完成、达到、获得
acquire                                 (通过努力)获得、得到、购得、得到
admire                                  羡慕、赞赏
admit                                   承认
advise                                  劝告、建议
afford                                  买得起、承担得起
alloc                                   分配
allow                                   准许、容许
announce                                宣告、宣布
answer                                  回答、答案
apologize                               道歉
appear                                  出现
append                                  添加、追加
arrange                                 安排
ask                                     问
assign                                  赋值
associate                               关联、连接、联系、联合、交往
assume                                  假设、假定
attack                                  攻击
attempt                                 企图、试图
attend                                  参加（会议）
attract                                 吸引
avoid                                   避免
bake                                    烘烤
bear                                    忍受、负担
beat                                    打败
become                                  变成
beg                                     乞讨
begin                                   开始
belong                                  属于;belong-to
bite                                    咬
blame                                   指责、抱怨
block                                   阻塞、阻止
borrow                                  借
break                                   打破
breathe                                 呼吸
bring                                   带来
broadcast                               广播
build                                   建造、构造、建设
burn                                    燃烧
buy                                     买
call                                    打电话、调用
can                                     能够、可以
catch                                   捉、抓、接住
cause                                   引起、原因、造成、缘由
celebrate                               庆祝
change                                  改变、修改
charge                                  充电、收费
check                                   检查、校验
choose                                  选择
clean                                   清理、打扫
clear                                   清空，清楚的
click                                   点击
combine                                 组成、结合、联合
come                                    来，过来
command                                 命令；指令
communicate                             通信、通讯
compare                                 比较
complain                                抱怨
complete                                完成、结束、填写
conclude                                推定、总结出
configure                               配置
conflict                                冲突
connect                                 连接
consider                                认为、考虑
constitute                              组成、构成、是、成立、设立
consume                                 消费、消耗
consumer                                消费者
contain                                 包含、包括
control                                 控制
convert                                 转换、转变
copy                                    拷贝、复制
correct                                 改正
cost                                    花费;成本
count                                   数数(动词v)
counter                                 计数，计数器（名词）
cover                                   掩盖、包括
create                                  创建
cure                                    治愈;治疗
cut                                     切
damage                                  损害、损坏、毁坏
deal                                    处理、交易
declare                                 声明、断言、宣称
decrease                                降低、减少
defeat                                  战胜、挫败、击败
defend                                  防守、辩护、保护
define                                  定义
delay                                   延迟
delete                                  删除
deliver                                 递交、投递
demand                                  要求、需要、请求
depend                                  依赖
describe                                描述、描绘
design                                  设计
destroy                                 破坏
determine                               决定、确定、测定
develop                                 发展、开发
developer                               开发者、开发商
devote                                  献身于、致力于
die                                     死
dig                                     挖
direct                                  指向、直接、面向、对准、指导
disappoint                              使失望、使扫兴
discover                                发掘、探索、发现
discuss                                 讨论
distinguish                             区分..开来
draw                                    画画
drink                                   喝
drive                                   驾驶
drop                                    滴、掉下
due                                     归因于、由于、因为
earn                                    赚得、获得
eat                                     吃
edit                                    编辑
effect                                  效果、作用、产生
eliminate                               排除、清除、消除
encounter                               遇到、遭遇
encourage                               鼓励
end                                     结束、结尾
ensure                                  确保、保证
equal                                   相等
escape                                  逃离
evaluate                                求值、计算..的值
examine                                 检查
except                                  除..之外
exclude                                 排除、不包括、不包含
execute                                 执行、运行
exist                                   存在
exit                                    出口;退出;
expect                                  期望
explain                                 解释
explode                                 爆炸
export                                  导出
express                                 表达、表示
extend                                  延伸、扩充、延长、扩展
extract                                 提取、提炼、摘录
fail                                    失败
fall                                    落下
fasten                                  系紧
feed                                    喂
feel                                    感到、感觉
fetch                                   获取、获得、取
fight                                   打架
finish                                  完成
flash                                   闪光，闪
float                                   漂浮、浮点数
flod                                    折叠
flow                                    流、流动
flush                                   冲刷
fly                                     飞
follow                                  跟随
forbid                                  禁止
forget                                  忘记
forgive                                 原谅
free                                    释放、空闲、免费
gather                                  聚集
generate                                生成、产生
get                                     得到、获得、拿、取
give                                    给
grow                                    成长、生长
handle                                  处理
hang                                    悬挂、吊
hate                                    恨
have                                    有;吃
hear                                    听见
hide                                    藏
hit                                     打、撞
hold                                    抓住，持有
hurt                                    伤害
identify                                识别、鉴定、认出、确认身份
ignore                                  忽略、忽视
illustrate                              图示、演示
image                                   形象；印象；图片
imagine                                 想象；设想
import                                  导入
improve                                 提升
include                                 包含
incorporate                             合并、包含、吸收、将..包括在内
increase                                增加
indicate                                表明、表示、暗示、显示
inform                                  通知、知会、告知（动词）
information                             信息；消息（名词）
input                                   输入
insert                                  插入
insist                                  坚持
interrupt                               打断、中断
introduce                               介绍
involve                                 包括、需要
join                                    加入
keep                                    保持
kill                                    杀
knock                                   敲
know                                    认识、知道
lack                                    缺乏
laugh                                   嘲笑
launch                                  发射、启动
lay                                     放置
lead                                    带路、领着
learn                                   学习
leave                                   离开
left                                    离开、左
let                                     让
lie                                     躺
light                                   点亮
limit                                   限制
list                                    列举、列表、清单
listen                                  听
load                                    加载、载入
locate                                  定位（动词）
location                                位置（名词）
lose                                    失去
maintain                                维护
make                                    制造、使得、做
manage                                  管理
manager                                 管理器；经理
manipulate                              操作、操纵
marry                                   结婚
mask                                    掩盖、面具、口罩
master                                  掌握、精通、硕士
may                                     可以
mean                                    意思是、意味着..什么
meet                                    遇见、相遇
merge                                   合并、归并、合在一起
might                                   也许、或许
mistake                                 误解
mix                                     混合
modify                                  修改、改变
monitor                                 监控;班长
move                                    移动
murder                                  谋杀
must                                    必须
need                                    需要
notice                                  通知;通告
notification                            通知（名词）
obey                                    服从
observe                                 观察
obtain                                  获得、获取
occur                                   发生
operate                                 操作、手术
optimize                                优化、改进
order                                   命令、顺序
output                                  输出
overcome                                克服
own                                     拥有、自己的
pack                                    包装、打包
pass                                    传递
paste                                   粘贴
pay                                     付钱
perform                                 表演；执行
permit                                  准许、批准
pick                                    捡，拾取,挑选
place                                   放置、摆放
plus                                    加、加法
pop                                     弹出
pose                                    摆姿势
post                                    邮递、投递、发布
prepare                                 准备
press                                   压、按压
pretend                                 假装
prevent                                 阻止
process                                 处理、进程
produce                                 生产
promise                                 承诺、保证
promote                                 提升、促进、升职
protect                                 保护
prove                                   证明、证实
provide                                 提供
publish                                 出版、发布
pull                                    拉
punish                                  惩罚
push                                    推
put                                     放
query                                   查询
quit                                    退出、辞职
raise                                   提高
reach                                   到达
read                                    读
realize                                 意识到
rebuild                                 重建
recall                                  回忆、回顾
receive                                 接收
recognize                               认识、认知到
recommend                               推荐、建议
record                                  记录
recorder                                记录器；录音机；记录仪
recover                                 恢复
reduce                                  减少;降低
reference                               引用、参考
refuse                                  拒绝
register                                注册
relax                                   放松
release                                 释放
remain                                  依然
remember                                记得
remind                                  提醒
remove                                  移除
repair                                  修理、维修
replace                                 替换、替代
reply                                   答复
report                                  报告
represent                               代表、表示、意味着
request                                 请求
require                                 要求
rescue                                  拯救、营救
respect                                 尊重
response                                回应、响应
retire                                  退休
reverse                                 反转、倒转
review                                  复习、评论
revise                                  修订
ride                                    骑
ring                                    响铃、环
rise                                    上升
run                                     跑；运行
satisfy                                 满足、符合条件
save                                    拯救
say                                     说
search                                  搜索
see                                     看见
seek                                    寻求
select                                  选择
sell                                    卖
send                                    发送
seperate                                分开、区分、独立
serve                                   服务（动词）、提供
server                                  服务器
service                                 服务（名词）
set                                     安置；设置（动词）
setting                                 设置（名词）
shake                                   摇
share                                   共享、分享
shift                                   替换、转移
shine                                   照耀、闪光
shoot                                   射击
shout                                   喊叫
show                                    显示、展示
shut                                    关上
signal                                  信号
simply                                  简化
sing                                    唱
sink                                    下沉
sit                                     坐下
sleep                                   睡觉
smell                                   闻
smile                                   微笑
smoke                                   抽烟（动词）
solve                                   解决
sort                                    排序
sound                                   听起来；声音
speak                                   说
specify                                 指定、规定、明确说明
speed                                   加速
spell                                   拼写
spend                                   花费
stand                                   站立
start                                   开始、启动
steal                                   偷
stick                                   粘贴
stop                                    停止
store                                   保存、商店
subtract                                减、减法
suggest                                 建议（动词）
suggestion                              建议（名词）
supply                                  补给、供给
support                                 支持
suppose                                 假设、假定、认为、推定
suspend                                 暂停
swap                                    交换
swear                                   发誓
sweep                                   打扫
swim                                    游泳
switch                                  切换、开关
take                                    带
talk                                    交谈
taste                                   尝起来
teach                                   教
tell                                    告诉
terminate                               终止、中止
test                                    测试、测验
think                                   思考、认为
throw                                   抛、扔
touch                                   碰、触碰
trace                                   跟踪、追踪
trade                                   交易
train                                   训练、锻炼
transfer                                传输、运输
translate                               翻译、转换
treat                                   治疗
trust                                   相信、信任
understand                              理解
unpack                                  解包
update                                  更新
upset                                   使心烦
use                                     使用
via                                     通过..某方式
wait                                    等待
wake                                    醒来
wash                                    冲洗、洗刷
waste                                   浪费
watch                                   观看
wear                                    穿
win                                     赢
write                                   写
