extend                        延伸、扩充、延长、扩展
terminate                     终止、中止               
modify                        修改、改变               
satisfy                       满足、符合条件         
recommend                     推荐、建议               
due to                        归因于、由于、因为   
design                        设计                        
generate                      生成（随机数）、产生               
produce						  生产（商品）
reverse                       反转、倒转               
translate                     翻译、转换               
transfer                      传输、运输               
ignore                        忽略、忽视               
count						  数数(动词v)
counter						  计数，计数器（名词）
encounter                     遇到、遭遇               
except						  除..之外                   
cause                         引起、原因、造成、缘由
click                         点击                        
record                        记录                        
master                        掌握、精通、硕士、主人     
press                         压、按压                  
punish                        惩罚                        
publish						  出版、发布
mix                           混合                        
remind                        提醒                        
reply                         答复                        
retire                        退休                        
train                         训练、锻炼               
wash                          冲洗、洗刷               
swear                         发誓                        
rescue                        拯救、营救               
refuse                        拒绝                        
constitute                    组成、构成、是、成立、设立
monitor                       监控                        
hate                          恨                           
direct                        指向、面向、对准、指导
defend                        防守、辩护、保护      
defeat                        战胜、挫败、击败      
cure                          治愈               
treat						  治疗、对待
belong to                     属于                        
