apologize                     道歉                        
attack                        攻击                        
forbid                        禁止                        
respect                       尊重                        
supply                        补给、供给               
support                       支持                        
image                         想象                        
solve                         解决                        
disappoint                    使失望、使扫兴         
introduce                     介绍                        
earn                          赚得、获得               
express                       表达、表示               
waste                         浪费                        
shout                         喊叫                        
recover                       恢复                        
promote                       提升、促进、升职      
obtain                        获得、获取               
obey                          服从                        
knock                         敲                           
gather                        聚集                        
escape                        逃离                        
encourage                     鼓励                        
destroy                       破坏                        
determine                     决定、确定、测定      
devote                        献身于、致力于         
deliver                       递交、投递               
declare                       声明、断言、宣称      
cover                         掩盖、包括               
broadcast                     广播                        
attract                       吸引                        
