admit                         承认                        
suppose                       假设、假定、认为、推定
illustrate                    图示、演示               
permit                        准许、批准               
conclude                      推定、总结出            
inform                        通知、知会、告知      
advise                        劝告、建议               
afford                        买得起、承担得起      
announce                      宣告、宣布               
attempt                       企图、试图               
beg                           乞讨                        
breathe                       呼吸                        
damage                        损害、损坏、毁坏      
demand                        要求、需要、请求      
communicate                   通信、通讯               
share                         共享、分享               
acquire                       (通过努力)获得、得到、购得、得到
conflict                      冲突                        
complete                      完成、结束、填写      
optimize                      优化、改进               
load                          加载、载入               
trace                         跟踪、追踪               
convert                       转换、转变               
post                          邮递、投递               
touch                         碰、触碰                  
import                        导入                        
export                        导出                        
indicate                      表明、表示、暗示、显示
interrupt                     打断、中断               
distinguish                   区分..开来                
insert                        插入                        
append                        添加、追加               
manage                        管理                        
extract                       提取、提炼、摘录      
suspend                       暂停                        
depend                        依赖                        
configure                     配置                        
subtract                      减、减法                  
plus                          加、加法                  
incorporate                   合并、包含、吸收、将..包括在内
involve                       包括、需要               
arrange                       安排                        
pretend                       假装
