mountain                      山                           
match                         比赛                        
farm                          农场                        
swim                          游泳                        
strong                        强壮的                     
some                          一些                        
thursday                      星期四                     
let                           让                           
glasses                       眼镜                        
please                        请                           
problem                       问题                        
young                         年轻                        
neck                          脖子                        
but                           但是                        
football                      足球                        
myself                        我自己                     
cry                           哭                           
lunch                         午餐                        
supper                        晚餐                        
monday                        周一                        
hill                          小山                        
ride                          骑                           
modern                        现代的                     
smart                         聪明的                     
those                         那些                        
stop                          停止                        
ago                           之前                        
hold                          拿住                        
number                        数字                        
twelve                        十二                        
animal                        动物                        
rat                           老鼠                        
decide                        决定                        
order                         顺序                        
choose                        选择                        
start                         开始                        
tie                           领带                        
visitor                       访问者                     
world                         世界                        
show                          展示                        
worker                        工人                        
stamp                         油票                        
collect                       收集                        
ox                            公牛                        
singer                        歌手                        
stage                         舞台                        
dress                         服饰                        
sing                          唱歌                        
like                          喜欢                        
colour                        颜色                        
clothes                       衣服                        
hobby                         爱好                        
tiger                         老虎                        
see                           看见                        
angry                         生气                        
hotel                         旅馆                        
west                          西                           
around                        在..周围                   
many                          许多                        
horse                         马                           
history                       历史                        
chocolate                     巧克力                     
