summer 夏天
parent 父母
stay 停留、呆
museum 博物馆
cousin 堂兄弟姐妹
vacation 假期
interesting 有趣的
story 故事
climb 爬
finish 完成
lesson 课程
unit 单元
last 上一个
classmate 同学
again 再、又
gift 礼物
pair 一对、一双
shoe 鞋
visit 访问
visitor 访问者、访客
next 下一个
miss 想念
sure 当然
more 更多
better 更好的
best 最好的
form 表格
lost 丢失
find 查找
fill 填充
strong 强壮
both 两个都
afternoon 下午
during 在..期间
ache 疼
happen 发生
practice 练习
because 因为
hosptial 医院
finger 手指
tomorrow 明天
leg 胳膊
blood 血
doctor 医生、博士
answer 回答
scratch 抓伤
myself 我自己
yourself 你自己
herself 她自己
worry 担心
