travel 旅游
zone 区域
zip 压缩
zoo 动物园
print 打印
serious 严肃的
wonder 疑问
suit 套装
wait 等待
wear 穿着
stage 舞台
wish 心愿、希望
shoes 鞋子
fruit 新鲜
ground 地面
glad 高兴的
calendar 日历
enter 进入
mean 意思、意味
order 顺序
emperor 皇帝
cycle 循环
those 那些
primary 主要的、主修的
professor 教授
pleasure 高兴的愉快的
flame 火焰
relay 接力
language 语言
whole 整个
thousand 千
ten 十
stadium 体育馆
international 国际的
centain 一定的
honour 纪念、荣耀
argument 争论
eager 渴望
dare 敢
hole 洞
torch 火炬
group 组
join 参加
together 在一起
important 重要的
celebration 庆典
try 试着、努力
heavy 重的
huge 巨大的
town 城镇
