sometimes 有时候
wise 聪明的
mark 标记
finally 最终
stone 石头
loudly 大声地
aloud 大声的
military 军队
retire 退休
general 将军
famous 著名的
instead 替代
cross 错×
tick 打钩，对
sweater 毛衣
compass 指南针
ancient 古代的
sunday 礼拜天
follow 跟随
large 大的
medium 中等的
host 主办
held 举办、拿着、持有
close 关闭
bright 明亮的
blackboard 黑板
bridge 桥
medal 奖牌
gold 金、金的
silver 银的
bronze 铜的
athelete 运动员
festival 节日
sport 运动
such 如此
proud 骄傲
country 国家
nation 国家、地区
motto 格言
shame 羞耻、耻辱
fair 公平
only 只有、仅仅
both 两者都
lead 带领
leader 领导
help 帮助
helpful 有帮助的
kind 友好的、类型
loyal 忠诚的
wash 洗
step 步
city 城市
sentence 句子
captial 首都
event 事件
small 小的
poster 海报
trip 旅行
outdoor 户外
brave 勇敢
mind 思想、想法、意识
height 高
size 大小、尺寸
