arm	手臂
before	之前
building	建筑
a/an	/一个
arrive	到达
begin	开始
bus	公共汽车
able	能力
art	艺术
behind	后面
busy	忙
about	关于
artist	艺术家
believe	相信
but	但
accident	事故
as	作为
bell	贝尔
butter	黄油
accountant	会计
ask	问
belt	带
butterfly	蝴蝶
ache	疼痛
assistant	助理
between	之间的
buy	买
active	活跃的
astronaut	宇航员
big	大
by	通过
actor	演员
at	在
bike	自行车
bye	再见
August	8月
billion	欧元
actress	女演员
address	地址
aunt	阿姨
bin	箱子
cabbage	卷心菜
Australia	澳大利亚
bird	鸟
café	咖啡馆
afraid	害怕
autumn	秋天
birthday	生日
cake	蛋糕
after	后
away	走了
biscuit	饼干
camel	骆驼
afternoon	下午
black	黑色的
can	可以
again	再一次
blackboard	黑板上
Canada	加拿大
baby	婴儿
age	年龄
back	回来
blouse	上衣
candy	糖果
ago	前
bad	坏
blue	蓝色的
canteen	食堂
agree	同意
ball	球
board	董事会
cap	帽
air	空气
ballet	芭蕾舞
boat	船
capital	资本
air conditioner	空调
balloon	气球
body	身体
car	车
airport	机场
bamboo	竹子
book	书
card	卡
all	所有
banana	香蕉
bookstore	书店
careful	小心
already	已经
bank	银行
boot	引导
carrot	胡萝卜
also	也
baseball	棒球
born	出生
carry	携带
always	总是
basket	篮子
boss	老板
castle	城堡
A.M.	点
basketball	篮球
both	这两个
cat	猫
America	美国
bat	蝙蝠
bottle	瓶
catch	抓
among	在
bathroom	浴室
bounce	反弹
CD	CD
and	和
be	是
box	盒子
centre	中心
angry	愤怒的
bean	豆
boxing	拳击
century	世纪
animal	动物
bear	熊
boy	男孩
chair	椅子
another	另一个
beautiful	美丽的
bread	面包
chameleon	变色龙
answer	回答
because	因为
break	打破
change	改变
ant	蚂蚁
become	成为
breakfast	早餐
cheap	便宜的
any	任何
bed	床上
bridge	桥
cheese	奶酪
apple	苹果
bedroom	卧室
bright	明亮的
chess	国际象棋
April	4月
bee	蜜蜂
bring	带
chick	小鸡
beef	牛肉
brother	哥哥
chicken	鸡
beer	啤酒
brown	棕色（的）
child	孩子
argue	认为
fall	秋天
curtain	窗帘
dry	干
family	家庭
China	中国
customer	客户
duck	鸭
fan	风扇
dumpling	饺子
Chinese	中国人
fantastic	神奇的
dusk	黄昏
chip	芯片
dance	跳舞
far	远
chopstick	筷子
dancer	舞者
farm	农场
Christmas	圣诞节
each	每一个
dangerous	危险的
farmer	农民
church	教堂
dark	黑暗
ear	耳朵
fast	快
cinema	电影
early	早期
date	日期
fat	脂肪
circle	圆
east	东
daughter	女儿
father	父亲
city	城市
dawn	黎明
Easter	复活节
favorite	最喜欢的
classmate	同学
easy	容易
day	一天
February	2月
classroom	教室
eat	吃
dear	亲爱的
feed	饲料
clean	清洁
e-card	电子贺卡
December	12月
feel	感觉
clerk	职员
egg	蛋
clever	聪明的
deep	深
festival	节日
deer	鹿
eggplant	茄子
fever	发热
climb	爬
delicious	美味的
eight	八个
close	关闭
eighteen	十八岁
field	场
design	设计
fifteen	15
closet	衣橱
desk	桌子上
either	要么
clothes	衣服
elephant	大象
fight	战斗
cloud	云
dictionary	字典
film	电影
different	不同的
eleven	11
cloudy	多云的
empty	空
find	找到
difficult	困难
coat	外套
end	结束
fine	细
dinner	晚餐
coffee	咖啡
dirty	脏
engineer	工程师
finger	手指
cola	可乐
England	英格兰
finish	完成
dish	菜
cold	冷
enjoy	享受
fireman	消防队员
collect	收集
dive	潜水
enough	足够的
first	第一个
divide	分
colour	颜色
eraser	橡皮擦
fish	鱼
come	来
do	做
doctor	医生
evening	晚上
five	五个
community	社区
every	每一个
flag	国旗
computer	电脑
dog	狗
doll	娃娃
everyone	每一个人
flat	平
concert	音乐会
dollar	美元
everything	一切
floor	地板上
ook	的书
donkey	驴
everywhere	到处都是
flower	花
cool	很酷的
door	门
excuse	借口
flu	流感
copy	复制
count	数
down	下来
exercise	锻炼
fly	飞
country	国家
dragon	龙
expensive	昂贵的
food	食物
cousin	表兄
draw	画
experiment	实验
foot	脚
dream	梦想
eye	眼睛
football	足球
COW	牛
crayon	蜡笔
dress	衣服
for	为
cross	交叉
drink	喝
face	脸
foreign	外国
cry	哭
driver	司机
factory	工厂
forest	森林
cucumber	黄瓜
drop	下降
fail	失败
forget	忘记
cup	杯
drum	鼓
fair	公平
fork	叉
say	说
ski	滑雪
stand	站
rabbit	兔子
scarf	围巾
skip	跳过
star	明星
race	比赛
school	学校
skirt	裙子
station	站
radio	广播
schoolbag	书包
sky	天空
stay	保持
railway	铁路
science	科学
sleep	睡眠
still	仍然
rain	雨
seashore	海滨
slipper	拖鞋
stomachache	胃痛
rainbow	彩虹
season	季节
slow	慢
stone	石头
raincoat	雨衣
seat	座位
small	小
stop	停止
rainy	多雨的
second	第二个
smart	聪明的
store	商店
rather	而
see	看到
smell	气味
story	故事
read	读
seed	种子
smile	微笑
strange	奇怪的
ready	准备好了
send	发送
snake	蛇
strawberry	草莓
red	红色的
September	9月
sneaker	运动鞋
stream	流
relax	放松
set	集
snow	雪
street	街
remember	还记得
seven	七个
SO	所以
strict	严格的
report	报告
seventeen	十七岁
sock	袜子
