a-runny-nose                  流鼻涕                     
be-careful                    小心                        
birthday                      生日                        
born                          出手                        
catch-a-cold                  感冒                        
cinema                        电影院                     
lots-of                       许多                        
nervous                       紧张的                     
on-the-top-of                 在顶部                     
plastic                       塑料的                     
protect                       保护                        
roadside                      马路边                     
scared                        害怕、惊恐的、恐惧的
stay                          呆、停留                  
tidy                          整洁的                     
tomorrow                      明天                        
turn-on                       打开                        
wait-a-minute                 等一分钟                  
