able 能、有能力的
about 大约、关于
above 超过、多余、胜过
across 穿过，越过
after 在......之后；跟随
again 又，再一次，此外
against 反对，违反，对......不利
ago 以前
all 所有，全部，极度
almost 几乎，差不多
along 沿着，顺着
aloud 大声地，出声地
already 已经，早已，先前
also 也，而且，同样
althrough 尽管，虽然，但是，然而
always 永远，一直，总是，常常
and 和，与，就， 而且，然后
another 又一，另一，另外的，不同的，类似
any 任何的，任一，一点，尽可能多的
anyway 无论如何，不管怎样，总之
anywhere 在任何地方，无论何处
around 在四周，朝对立面，到处，漫无目的地
as 如同，像......一样
aside 离开，撇开，在旁边
at 在（表示存在或出现的地点、场所、位置、空间）
away 离开，在远处
back 背部，脊梁骨，后部
because 因为，由于
before 在......之前，先于，在......面前
begin 开始
behind 在......的后面，朝......后面
below 在.....下面
beside 在旁边，除......以外
besides 除......以外（还)
between 在......之间
beyond 在（或向）......较远的一边，超过，越过
but 但是，而是
by 由，被，通过
can 能够，可能，被允许
carefully 小心地
cause 原因，事业，目标
continually 不断地，频繁地
could 能够，可以，可能，差点就，本来欧可能......
did 做（do的过去式）
does 做，工作，有用（do的第三人称单数形式）
done 完成的，做好了的，煮熟的
down 在下面，向下，朝下
during 在......的期间，在......期间的某个时候
each（两个或两个以上的人或物中）各自
early 早期的，早熟的
else 其他，否则，另外
enough 足够地，充足地
even 甚至，即使，愈加
ever 永远，曾经，究竟
everything 每件事物，一切，万事
except 除......之外
false 错误的，虚伪的，伪造的
finqlly 最后，终于
first 第一
for （表示对象，用途等）给、对，为了，关于，代表
forever 永远，不断地，常常
frequently 频繁地，时常，屡次
from 从......起，从......开始，来自
front 前面，正面，前线
general 一般的，普通的，综合的，大体的
had 拥有（have的过去式和过去分词）
has 有，吃，得到，从事，允许
have 有，让，拿， 从事，允许
he 他
hence 因此，今后
her 她
his 他的
how 如何，多少，多么
however 无论如何，不管怎样
if 如果，要是，假如
immediatly 立即，立刻
in 在......内，进......里, 在......期间
inner 内部的，内心的，精神的
inside 内侧，里面，内部，内心
instead 代替，反而，相反
it 【指无生命的东西动物、植物】它，这，那
its 它的
just 只是，仅仅，刚才，刚刚，恰好
last 最后的，最近的，上一次的，最终的
late 晚的，迟的，最近的
later 后来，随后
let 允许，让
little 小的，很少的，短暂的，小巧可爱的
lot 所有， 一群，一批
many 许多
may 可以，能够，可能，也许，祝，愿
me 我（宾格)
meanwhile 同时，期间
more 更多，此外，更大程度地
moreover 而且，此外
most 最，非常，极其，最多，几乎
mostly 主要地，通常，多半地
much 非常，很
must 必须，一定，应该，得
my 我的
near 接近（地）。靠近（地），离......很近
nearly 差不多，几乎，密切地
never 从未，绝不
nevertheless 然而，不过，虽然如此
next 紧接在后面的，贴近的，其次的，下一个的
not 表示否定，不
nothing 没有什么，无关紧要的东西
off 离开，脱掉，出发，结束
often 常常，时常，往往，大多
on 在......之上；向，朝，关于，在......时候
once 一次，曾经
only 只，仅仅，不料
other 其他的，另外的
otherwise 否则，另外，在其他方面
our 我们的
out 出现，向外，在室外，遥远地
outer 外面的，外部的，远离中心的
outside 外部，外观，（建筑物等的）周围
over 倒下，翻转，穿过，完全覆盖
owne 拥有，承认
past 过去的，从前的，以往的，刚过去的
previous 以前的，早先的，过早的
quite 很，相当，完全
rather 宁可，宁愿，相当，准确地说
ready 准备好，现成的，情愿的，快要......的
really 实际上，事实上，真正地，真实地
recently 最近，新近
right 正确的，直接的，右方的
same 相同的，同一的
several 几个的，各自的
shall 应，会，将，必须
she 她
should 应该，就，可能，将要，本当
side 方面，侧面
since 自......以后
some 一些，某些，好些，少量，某个
sometimes 有时，间或
somewhere 在某处，到某处
soon 快，不久，一会儿，立刻
still 仍然，更，静止地
such 这样的
suddenly 突然地，忽然
than 比
that 那，那个，那种
the 这，那
their 他们的，她们的，它们的
them 他们，她们，它们
themselves 他们自己，他们亲自
then 当时，然后，那么，此外
there 在那里，在那边，在那点上
these 这些（this的复数）
they 他们，她们，它们
thing 事情，东西，情况
this 这个，这样，今，本
those 那些（that的复数）
through 穿过，从一端到另一端
thus 因此，从而，这样，如此
thuswise 如此，那样，这样
times 乘以
to 朝，位于......，到某处，到某状态
today 今天，现今，当代
together 一起，同事，相互
tomorrow 在明天，在未来
too 太，也，很，非常，过度
towards 朝，向
true 真实的，正确的
under 在......下面
unless 除非，若非
until 到......时，直到......为止
up 向上，上涨
upon 在......之上，即将来临
upper 上面的，较高的
us 我们
usually 通常，经常
very 非常，很，完全
was 是，（am、is的过去式）
whereas 然而、鉴于
whether 是否、不论
whichever 任何一人、无论哪个
whoever 无论谁
whose 谁的
whole 全部、整个
within 在..之内、在..里面
without 离开，没有，不和..在一起
yet 还，但是，已经
